lang,lang_group,model_id,model_family,treebank,split,deprel,layer,head,direction,mean_attention,std_attention,n_arcs
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,6,head_to_dep,0.07123350682052379,0.07522832804821625,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,6,dep_to_head,0.01865422034144866,0.044217513825535924,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,7,head_to_dep,0.023668377587807703,0.027522919670177805,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,7,dep_to_head,0.01592987999779427,0.018743428708554728,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,8,head_to_dep,0.2532155183512443,0.38815592573366337,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,8,dep_to_head,0.021793508586011603,0.13123536529312202,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,9,head_to_dep,0.004144912106202285,0.004639433362439467,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,9,dep_to_head,0.0038643800411452987,0.005111872594002418,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,10,head_to_dep,0.008296306309148757,0.009059302325396848,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,10,dep_to_head,0.005278521036971836,0.007053608218768499,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,11,head_to_dep,0.0034639037102926784,0.007249729844456507,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,11,dep_to_head,0.0037935887967487443,0.005480660646154895,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,12,head_to_dep,0.021607405628620274,0.08230542152713871,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,3,12,dep_to_head,0.17955143038306715,0.263341233482071,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,4,1,head_to_dep,0.005807081753820133,0.021215033745358863,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,4,1,dep_to_head,0.0024778477920895706,0.011579446269032841,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,4,2,head_to_dep,0.058022251278346544,0.11966666891124944,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,4,2,dep_to_head,0.0073405664421996,0.0398885319598825,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,4,3,head_to_dep,0.023457962884244014,0.019829884515701984,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,4,3,dep_to_head,0.020595282322054754,0.017893857527591095,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,4,4,head_to_dep,0.02608515320758617,0.08782840233785257,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,4,4,dep_to_head,0.11103605593769733,0.13539686621800623,1115
pt,romanico,neuralmind/bert-base-portuguese-cased,manual,UD_Portuguese-Bosque,test,nsubj,4,5,head_to_dep,0.03248890593111298,0.051752770457372234,1115
