deprel,rho_micro_index,rho_macro,rho_micro_matched_loo,iteration
case,0.10355401805878693,0.28895454427369327,0.2974212847286949,34
amod,0.11936445511152109,0.2857188401638691,0.2684013830216374,34
nsubj,0.052081643063593495,0.15943312330031081,0.245937743466872,35
obj,0.0792462828180027,0.19235261957246236,0.4085172161550932,35
case,0.08869674817421805,0.3232376859677473,0.3798999313569865,35
amod,0.08892616624960345,0.36401891214725446,0.41015175382684155,35
nsubj,0.10010250093252991,0.14434247883985976,0.3132836222857812,36
obj,0.08244132489582746,0.27573212482451176,0.2666626490582012,36
case,0.03938604855281115,0.2619225994036313,0.23400197911379952,36
amod,0.08557803439500418,0.32550954746658806,0.3111276860299574,36
nsubj,0.11146413339162738,0.21995250010140505,0.3182959153734934,37
obj,0.07817887374400301,0.26762025494919567,0.29648536191346897,37
case,0.09076232177078067,0.30138308993801843,0.25234797151862476,37
amod,0.05918988533905812,0.265318454246398,0.3061990698027908,37
nsubj,0.08732785989370204,0.35265413603916423,0.2990187366994395,38
obj,0.1411607045298958,0.4015495114366447,0.3805311324984401,38
case,0.03495952869905282,0.17245238473274013,0.18095901611182275,38
amod,0.09979706106789625,0.18458309506902862,0.3338871193884865,38
nsubj,0.09993599271909494,0.3206513255883953,0.27297406836549715,39
obj,0.1481088059187146,0.4080699125983323,0.3055557499982052,39
case,0.09412335069570386,0.1850516192336035,0.2728582886564233,39
amod,0.09295940573771816,0.24346546824932994,0.30502699664911936,39
nsubj,0.06558119790179744,0.20922924247436325,0.28046302131904466,40
obj,0.09160936693218792,0.31277412704548385,0.2647177238710769,40
case,0.07496484906093714,0.24263787664450914,0.2611570186801752,40
amod,0.0672418635120204,0.33771986262468495,0.35345884255156423,40
nsubj,0.11493899771850094,0.2666125623623972,0.37483063523089644,41
obj,0.0503533378660686,0.28615614001306383,0.20063135414986455,41
case,0.09063222473019722,0.3558061545411896,0.36210157088661254,41
amod,0.058199367723722785,0.14469787803949138,0.25192360615520143,41
nsubj,0.11459543204716102,0.38695789401008024,0.3578919354076205,42
obj,0.03738758040011831,0.12269130164081307,0.20941496605563495,42
case,0.09996644443969241,0.25226704598472466,0.3322173812408871,42
amod,0.10259763381834199,0.3195892127087381,0.32716617120574015,42
nsubj,0.1034925864360264,0.2542838889415236,0.2326082351099239,43
obj,0.12171508240771711,0.33746807559794134,0.4601006341857598,43
case,0.08078533582861916,0.2294066918731032,0.29009582389704974,43
amod,0.11653175362782518,0.38728471603261055,0.4155010711008891,43
nsubj,0.11295789019327779,0.2889309968131424,0.422584913222206,44
