lang_a,lang_b,deprel,weight,rho_micro_index,rho_macro,rho_micro_matched_loo
es,ro,case,2097,-0.08075315489108593,0.09090909090909093,0.15138654448999278
es,ro,amod,1050,0.03167751788441443,0.3706293706293707,0.5177236556546903
fr,gl,nsubj,446,0.15867293625914314,0.4755244755244756,0.5891648581303753
fr,gl,obj,344,0.11727353106663452,0.5734265734265735,0.6158950245157143
fr,gl,case,1309,0.029278193071296522,0.3076923076923077,0.41184792219274985
fr,gl,amod,485,-0.033731211317418214,0.1398601398601399,0.6191544088095813
fr,it,nsubj,433,0.06089542641266779,0.3636363636363637,0.39734748010610077
fr,it,obj,336,0.02019934088899606,0.013986013986013986,0.5322040028936581
fr,it,case,1309,-0.1256249497628808,0.18881118881118883,0.27210433244916005
fr,it,amod,485,0.015485089623020658,0.006993006993006993,0.5779559520938832
fr,pt,nsubj,519,0.11229804678080539,0.6293706293706295,0.5783136403826059
fr,pt,obj,344,0.04894702998151275,0.41958041958041964,0.6472871955630577
fr,pt,case,1309,0.042331806124909575,0.2797202797202798,0.4421228197090266
fr,pt,amod,485,-0.019869785387026766,-0.1328671328671329,0.5908005787316133
fr,ro,nsubj,519,0.16222972429868981,0.6293706293706295,0.5323607427055703
fr,ro,obj,344,0.047383650831926694,0.41958041958041964,0.7106703641186399
fr,ro,case,1309,0.10685234305923962,0.30069930069930073,0.33661281247488145
fr,ro,amod,485,0.03028695442488546,0.3426573426573427,0.6006952817297646
gl,it,nsubj,433,0.14586849931677517,-0.14685314685314685,0.44903142834177323
gl,it,obj,336,0.20293786673097017,-0.1188811188811189,0.5500884173297966
gl,it,case,1364,0.04086488224419259,0.1188811188811189,0.19038260589984726
gl,it,amod,572,0.16639739570774054,0.07692307692307693,0.4379993569648742
gl,pt,nsubj,446,0.8798930954103368,0.9230769230769231,0.9199340888996063
gl,pt,obj,465,0.909050719395547,0.9300699300699302,0.8442568925327547
gl,pt,case,1364,0.9140824692548831,0.8391608391608393,0.8754280202556065
gl,pt,amod,572,0.8862269913994052,0.8181818181818183,0.8604694156418294
gl,ro,nsubj,446,0.26665460975805805,0.5454545454545455,0.553295555019693
gl,ro,obj,465,0.15657101519170485,0.4265734265734266,0.7092315730246764
gl,ro,case,1364,0.12737722048066877,-0.034965034965034975,0.40497146531629286
gl,ro,amod,572,0.139767703560807,0.6153846153846154,0.6407644080057874
it,pt,nsubj,433,0.1941765131420304,-0.013986013986013986,0.5008279077244595
it,pt,obj,336,0.24529780564263326,-0.17482517482517487,0.6003617072582591
it,pt,case,1541,0.10131822200787717,0.20979020979020982,0.25909894702998154
it,pt,amod,585,0.20525681215336386,-0.14685314685314685,0.5060807009082872
it,ro,nsubj,433,0.1878185033357447,0.22377622377622378,0.4100434048709911
it,ro,obj,336,0.12274334860541757,0.2027972027972028,0.5016116067840206
it,ro,case,1541,-0.13349409211478178,-0.2867132867132868,0.13200707338638373
it,ro,amod,585,0.015091230608471989,0.08391608391608392,0.42279961417892453
pt,ro,nsubj,740,0.20385017281569004,0.7342657342657343,0.5378144843662085
pt,ro,obj,593,0.1135881360019291,0.2377622377622378,0.6638091793264207
pt,ro,case,2097,0.08009404388714735,0.06993006993006995,0.3520536934330038
pt,ro,amod,944,0.0779840848806366,0.3636363636363637,0.5389759665621735
