deprel,rho_micro_index,rho_macro,rho_micro_matched_loo,iteration
obj,0.08797599859621935,0.39818079410129625,0.07886162351571382,59
case,0.02352758244672384,0.17421578694289425,0.03918418536450523,59
amod,0.04196298911887419,0.32263662456557374,0.0345604417369235,59
nsubj,0.13528539156379357,0.4450077544553125,0.11053295043397472,60
obj,0.07432537938904264,0.39818079410129625,0.07125924320953898,60
case,0.018124126726826652,0.17421578694289425,0.010412683429498597,60
amod,0.06329517536221475,0.32263662456557374,0.05634660391866022,60
nsubj,0.1068516895342494,0.4450077544553125,0.08208247652699766,61
obj,0.10471226280092244,0.39818079410129625,0.06590108576077412,61
case,0.006198669836036597,0.17421578694289425,0.0029090915234743133,61
amod,0.07273465784944201,0.32263662456557374,0.08389980360238436,61
nsubj,0.12865108033698078,0.4450077544553125,0.11886917845505403,62
obj,0.10281673137375778,0.39818079410129625,0.0931713058018786,62
case,0.003027472356288035,0.17421578694289425,0.016121347270932933,62
amod,0.039365774879266735,0.32263662456557374,0.04518109299532731,62
nsubj,0.1536507398990489,0.4450077544553125,0.12241362417158226,63
obj,0.0730398287448136,0.39818079410129625,0.13429523459515524,63
case,0.04389264643259775,0.17421578694289425,0.018540696594584204,63
amod,0.04378264963768183,0.32263662456557374,0.06293627213364338,63
nsubj,0.12797200995262895,0.4450077544553125,0.15858003917803482,64
obj,0.09110084368091871,0.39818079410129625,0.09866047198845496,64
case,0.027922495991873596,0.17421578694289425,0.04573108161913111,64
amod,0.054720651326050126,0.32263662456557374,0.06621303494626161,64
nsubj,0.1467351950847713,0.4450077544553125,0.0937604210850394,65
obj,0.12091557465042534,0.39818079410129625,0.12671740153272398,65
case,0.03069807517507081,0.17421578694289425,0.041592424222554304,65
amod,0.03862841893546881,0.32263662456557374,0.032487567579495065,65
nsubj,0.11618550881216187,0.4450077544553125,0.13779048284846027,66
obj,0.09278691322624379,0.39818079410129625,0.09406990997508238,66
case,0.03323856067044287,0.17421578694289425,0.03106193509137341,66
amod,0.027116820169033534,0.32263662456557374,0.04668178076981234,66
nsubj,0.12751249822299768,0.4450077544553125,0.12165649278525786,67
obj,0.09044854432587082,0.39818079410129625,0.11703555047607134,67
case,0.0543791699704098,0.17421578694289425,0.006419125595446925,67
amod,0.04316905293244784,0.32263662456557374,0.061872924990344094,67
nsubj,0.11599487515420262,0.4450077544553125,0.1614463428310368,68
obj,0.10078877153722055,0.39818079410129625,0.10158929645836298,68
case,0.019128185609341885,0.17421578694289425,0.015672417317274923,68
amod,0.04568843918494521,0.32263662456557374,0.03601296503349239,68
nsubj,0.1316620192705889,0.4450077544553125,0.1023798815597772,69
obj,0.08309266810475154,0.39818079410129625,0.0608505947234125,69
case,0.02483298127335735,0.17421578694289425,0.03225813677617411,69
amod,0.05616512830258679,0.32263662456557374,0.0283804288497611,69
nsubj,0.13304949304673222,0.4450077544553125,0.12535117459774425,70
obj,0.12985677964847636,0.39818079410129625,0.11619319884415108,70
case,0.02052338693216592,0.17421578694289425,0.008679842952581923,70
amod,0.0415975185103524,0.32263662456557374,0.038314554086814306,70
nsubj,0.1562766763527372,0.4450077544553125,0.11179342959939853,71
obj,0.07247025121754597,0.39818079410129625,0.13991380193172864,71
case,0.051818849643190376,0.17421578694289425,-0.005071690753799655,71
amod,0.04313120391942529,0.32263662456557374,0.03839545549160504,71
nsubj,0.12480283752763804,0.4450077544553125,0.10762371878050629,72
obj,0.06612314601908456,0.39818079410129625,0.09404459845449603,72
case,0.00847397745811198,0.17421578694289425,0.013107840190752975,72
amod,0.07549060836531013,0.32263662456557374,0.04759963624718891,72
nsubj,0.11972032573410228,0.4450077544553125,0.15341728056506776,73
obj,0.11568945590551422,0.39818079410129625,0.11673988968517175,73
case,0.0032924438503974564,0.17421578694289425,0.017109811786106443,73
amod,0.039260981453373006,0.32263662456557374,0.07372183763294828,73
nsubj,0.09819732934486809,0.4450077544553125,0.09507876021901035,74
obj,0.09838338674022558,0.39818079410129625,0.1197849552818172,74
case,0.042223320278149214,0.17421578694289425,0.03407552543025677,74
amod,0.04231723552700587,0.32263662456557374,0.0604851113835841,74
nsubj,0.14295174488598195,0.4450077544553125,0.1145998966201335,75
obj,0.09245357081239348,0.39818079410129625,0.13344304741812316,75
case,0.029142412144678647,0.17421578694289425,0.010083327602135763,75
amod,0.02713558753254888,0.32263662456557374,0.02979920022536162,75
nsubj,0.1200434161331155,0.4450077544553125,0.14873476950517897,76
obj,0.04944057163199424,0.39818079410129625,0.07560379047682467,76
case,0.027632312592112858,0.17421578694289425,0.03128198772262527,76
amod,0.06571950895932682,0.32263662456557374,0.042673975270673126,76
nsubj,0.13014842064150475,0.4450077544553125,0.16861155993358307,77
obj,0.1086148457539671,0.39818079410129625,0.10838071429364171,77
case,0.045867124999612055,0.17421578694289425,0.03321551885474526,77
amod,0.051824021311775006,0.32263662456557374,0.04859074729947366,77
nsubj,0.1365216040688833,0.4450077544553125,0.12610520375145867,78
obj,0.082534661089884,0.39818079410129625,0.09731856748791536,78
case,0.04035506774846028,0.17421578694289425,0.025793775861655713,78
amod,0.055139260512119634,0.32263662456557374,0.03774579372050242,78
nsubj,0.11207149531215681,0.4450077544553125,0.12581827925164663,79
obj,0.08636990234072185,0.39818079410129625,0.10300596220016218,79
case,0.061942551499512534,0.17421578694289425,0.04220034953100811,79
amod,0.021743244783285053,0.32263662456557374,0.04983215781093449,79
nsubj,0.12283761162132828,0.4450077544553125,0.13295008871014505,80
obj,0.09502864356583157,0.39818079410129625,0.10754647459019123,80
case,0.019904367858611185,0.17421578694289425,0.017186272166499154,80
amod,0.025884864577488557,0.32263662456557374,0.04960616702629065,80
nsubj,0.10031287372153169,0.4450077544553125,0.12733315693628772,81
obj,0.07838306808134395,0.39818079410129625,0.10639049871880633,81
case,0.03675201212820146,0.17421578694289425,0.007307431231315842,81
amod,0.03390734167706968,0.32263662456557374,0.05429929198789166,81
nsubj,0.15348473264585463,0.4450077544553125,0.1352528131338766,82
obj,0.11717327333129526,0.39818079410129625,0.11016612889827432,82
case,0.03861469985582396,0.17421578694289425,0.03570251483876718,82
amod,0.043266604610448595,0.32263662456557374,0.039814940146747135,82
nsubj,0.09359233226948087,0.4450077544553125,0.12035427747390423,83
obj,0.08198349346993121,0.39818079410129625,0.08208261235710378,83
case,0.0316444947764233,0.17421578694289425,0.023145695863065682,83
amod,0.06384649165869713,0.32263662456557374,0.06972026936380799,83
nsubj,0.13091093049666805,0.4450077544553125,0.1248638650491167,84
obj,0.09044423990860291,0.39818079410129625,0.09419781578254383,84
case,0.02974542555533476,0.17421578694289425,0.012491519040513344,84
amod,0.0381558698922323,0.32263662456557374,0.07669815201692556,84
nsubj,0.11216603408922782,0.4450077544553125,0.15801949975702775,85
obj,0.06724981956676518,0.39818079410129625,0.08672361033618428,85
case,0.041286561368226386,0.17421578694289425,0.045331714364797694,85
amod,0.024021708972644166,0.32263662456557374,0.03984790156361591,85
nsubj,0.13778741118447366,0.4450077544553125,0.10937846040838782,86
obj,0.07925486286905996,0.39818079410129625,0.07285972636030348,86
case,0.03135592620542433,0.17421578694289425,0.013189461635546308,86
amod,0.0318338419408574,0.32263662456557374,0.05167056174765808,86
nsubj,0.126497395971596,0.4450077544553125,0.1359536441949959,87
obj,0.07223860428755104,0.39818079410129625,0.10564775489263298,87
case,0.07476297959850428,0.17421578694289425,0.03002583196966427,87
amod,0.02106717071674453,0.32263662456557374,0.028030764432071108,87
nsubj,0.10616577917908637,0.4450077544553125,0.14244166782666548,88
obj,0.0757805191970536,0.39818079410129625,0.07577578135325934,88
case,0.013571447812704751,0.17421578694289425,0.027713920140138716,88
amod,0.04681698001848086,0.32263662456557374,0.051999327942807774,88
nsubj,0.15186518896010626,0.4450077544553125,0.15600959249836974,89
obj,0.07856533213335984,0.39818079410129625,0.11165817344056415,89
case,0.0012269727850508542,0.17421578694289425,0.058948105786358236,89
amod,0.0637033236138744,0.32263662456557374,0.021996892735214643,89
nsubj,0.10979549462252866,0.4450077544553125,0.12205073632091108,90
obj,0.0887018610687634,0.39818079410129625,0.09356286694116735,90
case,0.032508581637910025,0.17421578694289425,0.0058256268382604415,90
amod,0.03937846484965902,0.32263662456557374,0.04750203248750951,90
nsubj,0.14639212728594578,0.4450077544553125,0.1274313398150399,91
obj,0.07759963639255948,0.39818079410129625,0.0877639626400628,91
case,0.021948579185837595,0.17421578694289425,0.00913972282760727,91
amod,0.057964813701710284,0.32263662456557374,0.04931113988134968,91
nsubj,0.14116027907930395,0.4450077544553125,0.14755307565721415,92
obj,0.08846037859365662,0.39818079410129625,0.0987971669796082,92
case,0.04168625592800445,0.17421578694289425,0.024863404588716033,92
amod,0.04170861651324332,0.32263662456557374,0.011777470348209184,92
nsubj,0.14385070792748658,0.4450077544553125,0.12579269846228242,93
obj,0.07620907125145332,0.39818079410129625,0.09631404665166027,93
case,0.03203442429711412,0.17421578694289425,0.015264795870662822,93
amod,0.07491277590935255,0.32263662456557374,0.017380851052583003,93
nsubj,0.1337007031877411,0.4450077544553125,0.12170271190024927,94
obj,0.09871379438144698,0.39818079410129625,0.10564341684382081,94
case,0.057323559770895365,0.17421578694289425,0.028647497787421292,94
amod,0.011882613679173877,0.32263662456557374,0.050573324996193984,94
nsubj,0.1117411804212279,0.4450077544553125,0.12708637804866513,95
obj,0.07840383513951542,0.39818079410129625,0.07691450718521127,95
case,0.01788253276506086,0.17421578694289425,0.021852748783899364,95
amod,0.03508738231119537,0.32263662456557374,0.05686485882539639,95
nsubj,0.11774975804130162,0.4450077544553125,0.12851382078253235,96
obj,0.11543280518356266,0.39818079410129625,0.08915176116626124,96
case,0.031502756037402484,0.17421578694289425,-0.00021003671894111276,96
amod,0.025814842556456857,0.32263662456557374,0.00511242198501272,96
nsubj,0.1202493807601342,0.4450077544553125,0.1120777255193754,97
obj,0.05460604471515596,0.39818079410129625,0.08024149592772448,97
case,0.002061834500719099,0.17421578694289425,0.028275204361778897,97
amod,0.024739478014787934,0.32263662456557374,0.055516076844948414,97
nsubj,0.11652885687699747,0.4450077544553125,0.11623524653659106,98
obj,0.06996731770609999,0.39818079410129625,0.11276938152262782,98
case,0.010729172556793282,0.17421578694289425,0.02980859160530555,98
amod,0.05609374886539016,0.32263662456557374,0.047235388360835545,98
nsubj,0.13698808254866895,0.4450077544553125,0.10282358577159938,99
obj,0.07527561092540894,0.39818079410129625,0.09952488128905673,99
case,0.0787757583686047,0.17421578694289425,-0.02333198983286161,99
amod,0.06736914015788543,0.32263662456557374,0.04210126178522334,99
nsubj,0.09397418038924348,0.4450077544553125,0.1007745992630452,100
obj,0.09738168717013762,0.39818079410129625,0.04591349832296304,100
case,0.014986329274411809,0.17421578694289425,0.023102676834604735,100
amod,0.04213162749911915,0.32263662456557374,0.0515335878307554,100
nsubj,0.13987776798080215,0.4450077544553125,0.12061171741025971,101
obj,0.09396190731549987,0.39818079410129625,0.06509330189120263,101
case,-0.0072553548017960275,0.17421578694289425,0.018847689719334034,101
amod,0.05125091930897525,0.32263662456557374,0.014075151180392034,101
nsubj,0.11997334995236764,0.4450077544553125,0.10722443850104599,102
obj,0.07811706148418021,0.39818079410129625,0.08605560084603514,102
case,0.016356701949803515,0.17421578694289425,0.004860634450970615,102
amod,0.04541199651900428,0.32263662456557374,0.056405624134056045,102
nsubj,0.12580842424924588,0.4450077544553125,0.11782981340461805,103
obj,0.0781882170035034,0.39818079410129625,0.09627064766618944,103
